#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types
2209230	25898	817	117406	107267	-	-	RCHY1	CAMK2D	ARNIP|CHIMP|PIRH2|PRO1996|RNF199|ZCHY|ZNF363	CAMKD	Affinity Capture-Western	physical	Ma-Lauer Y (2016)	PUBMED:27519799	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96PM5	-	NP_056251|NP_001265468|NP_001265467|NP_001265466|NP_001265465|NP_001009922	Q13557	E9PF82|A0A024RDK3|D6R938	NP_001308519|NP_001308518|NP_001308511|NP_001308510|NP_001308513|NP_001308512|NP_001308515|NP_001308514|NP_001308517|NP_001308516|NP_001308498|NP_001308499|NP_001308495|NP_001308496|NP_001308497|NP_742113|NP_742112|NP_001212|NP_001308508|NP_001308509|NP_001308506|NP_001308507|NP_001308504|NP_001308505|NP_001308502|NP_001308503|NP_001308500|NP_001308501|NP_001308520|NP_742125|NP_742126|NP_742127	-	-	-	-	-	-
2652351	43740571	2108	4383846	108409	GU280_gp05	-	M	ETFA	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	EMA|GA2|MADD	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.718398295	-	Average Spectral Counts: 2.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.718398295|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	P13804	-	NP_001121188|NP_000117	-	-	-	-	-	-
2652352	43740571	2040	4383846	108354	GU280_gp05	RP11-342H3.1	M	STOM	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	BND7|EPB7|EPB72	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.752971772	-	Average Spectral Counts: 3|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.752971772|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	P27105	F8VSL7|A0A024R882	NP_004090|NP_001257456|NP_001257455|NP_937837	-	-	-	-	-	-
2652353	43740571	2677	4383846	108945	GU280_gp05	-	M	GGCX	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	VKCFD1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.789966998	-	Average Spectral Counts: 2|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.789966998|SAINTexpress BFDR: 0.01	-	BIOGRID	P0DTC5	-	YP_009724393	P38435	-	NP_001135741|NP_000812|NP_001298241	-	-	-	-	-	-
2652354	43740571	523	4383846	107007	GU280_gp05	-	M	ATP6V1A	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.794938493	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.794938493|SAINTexpress BFDR: 0.05	-	BIOGRID	P0DTC5	-	YP_009724393	P38606	-	NP_001681	-	-	-	-	-	-
2652355	43740571	5714	4383846	111686	GU280_gp05	-	M	PSMD8	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	HEL-S-91n|HIP6|HYPF|Nin1p|Rpn12|S14|p31	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.881424779	-	Average Spectral Counts: 2|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.881424779|SAINTexpress BFDR: 0.05	-	BIOGRID	P0DTC5	-	YP_009724393	P48556	V9HW09	NP_002803	-	-	-	-	-	-
2652356	43740571	7905	4383846	113637	GU280_gp05	-	M	REEP5	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	C5orf18|D5S346|DP1|TB2|YOP1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.913088507	-	Average Spectral Counts: 10.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.913088507|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q00765	-	NP_005660	-	-	-	-	-	-
2652357	43740571	23203	4383846	116811	GU280_gp05	RP11-413M3.1	M	PMPCA	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	Alpha-MPP|INPP5E|P-55	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.991059815	-	Average Spectral Counts: 9.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.991059815|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q10713	-	NP_001269875|NP_055975|NP_001269873	-	-	-	-	-	-
2652358	43740571	196527	4383846	128218	GU280_gp05	-	M	ANO6	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	BDPLT7|SCTS|TMEM16F	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.993904419	-	Average Spectral Counts: 9.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.993904419|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q4KMQ2	B3KX12	NP_001136150|NP_001136151|NP_001020527|NP_001191732	-	-	-	-	-	-
2652359	43740571	10531	4383846	115786	GU280_gp05	RP11-298E9.1	M	PITRM1	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	MP1|PreP	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.952308232	-	Average Spectral Counts: 7|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.952308232|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q5JRX3	-	NP_055704|NP_001229238|NP_001229236	-	-	-	-	-	-
2652360	43740571	10463	4383846	115726	GU280_gp05	-	M	SLC30A9	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	C4orf1|GAC63|HUEL|ZNT9	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.886323242	-	Average Spectral Counts: 2|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.886323242|SAINTexpress BFDR: 0.05	-	BIOGRID	P0DTC5	-	YP_009724393	Q6PML9	-	NP_006336	-	-	-	-	-	-
2652361	43740571	60493	4383846	121924	GU280_gp05	-	M	FASTKD5	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	dJ1187M17.5	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.758365887	-	Average Spectral Counts: 7.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.758365887|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q7L8L6	-	NP_068598	-	-	-	-	-	-
2652362	43740571	148867	4383846	127176	GU280_gp05	RP11-30G24.1	M	SLC30A7	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	ZNT7|ZnT-7|ZnTL2	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.766972437	-	Average Spectral Counts: 4.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.766972437|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q8NEW0	-	NP_598003|NP_001138356	-	-	-	-	-	-
2652363	43740571	10426	4383846	115695	GU280_gp05	RP11-480K16.2	M	TUBGCP3	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	104p|GCP3|Grip104|SPBC98|Spc98|Spc98p	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.753607002	-	Average Spectral Counts: 7.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.753607002|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q96CW5	A0A087WU06|B4DYP7	NP_001273208|NP_006313|NP_001273206|NP_001273207	-	-	-	-	-	-
2652364	43740571	79934	4383846	123009	GU280_gp05	-	M	ADCK4	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	NPHS9	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.80074032	-	Average Spectral Counts: 3.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.80074032|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q96D53	A0A024R0Q9	NP_001136027|NP_079152	-	-	-	-	-	-
2652365	43740571	113174	4383846	125228	GU280_gp05	-	M	SAAL1	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	SPACIA1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.769472929	-	Average Spectral Counts: 3.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.769472929|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q96ER3	G1UCX3	NP_612430	-	-	-	-	-	-
2652366	43740571	92840	4383846	124983	GU280_gp05	-	M	REEP6	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	C19orf32|DP1L1|TB2L1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.955657163	-	Average Spectral Counts: 2.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.955657163|SAINTexpress BFDR: 0.05	-	BIOGRID	P0DTC5	-	YP_009724393	Q96HR9	-	NP_612402	-	-	-	-	-	-
2652367	43740571	92105	4383846	124909	GU280_gp05	MSTP093	M	INTS4	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	INT4|MST093	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.943304706	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.943304706|SAINTexpress BFDR: 0.05	-	BIOGRID	P0DTC5	-	YP_009724393	Q96HW7	-	NP_291025	-	-	-	-	-	-
2652368	43740571	89874	4383846	124629	GU280_gp05	-	M	SLC25A21	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	ODC|ODC1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.880779937	-	Average Spectral Counts: 2|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.880779937|SAINTexpress BFDR: 0.05	-	BIOGRID	P0DTC5	-	YP_009724393	Q9BQT8	-	NP_001164641|NP_085134	-	-	-	-	-	-
2652369	43740571	10844	4383846	116055	GU280_gp05	-	M	TUBGCP2	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	GCP-2|GCP2|Grip103|SPBC97|Spc97p|h103p|hGCP2|hSpc97	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.83958055	-	Average Spectral Counts: 13|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.83958055|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q9BSJ2	Q53EQ3	NP_001243546|NP_006650|NP_001243547	-	-	-	-	-	-
2652370	43740571	80222	4383846	123188	GU280_gp05	RP11-54A4.9	M	TARS2	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	COXPD21|TARSL1|thrRS	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.758110505	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.758110505|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q9BW92	U3KQG0	NP_079426|NP_001258825|NP_001258824	-	-	-	-	-	-
2652371	43740571	57142	4383846	121400	GU280_gp05	My043	M	RTN4	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	ASY|NI220/250|NOGO|NOGO-A|NOGOC|NSP|NSP-CL|Nbla00271|Nbla10545|Nogo-B|Nogo-C|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.873826097	-	Average Spectral Counts: 10.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.873826097|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q9NQC3	-	NP_001308792|NP_001308791|NP_001308790|NP_997403|NP_008939|NP_001308788|NP_001308789|NP_997404|NP_065393|NP_001308833|NP_722550	-	-	-	-	-	-
2652372	43740571	51439	4383846	119541	GU280_gp05	-	M	FAM8A1	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	AHCP	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.80448832	-	Average Spectral Counts: 2.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.80448832|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q9UBU6	A0A024R006	NP_057339	-	-	-	-	-	-
2652373	43740571	10157	4383846	115459	GU280_gp05	-	M	AASS	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	LKR/SDH|LKRSDH|LORSDH	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.765109504	-	Average Spectral Counts: 3|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.765109504|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q9UDR5	A4D0W4	NP_005754	-	-	-	-	-	-
2652374	43740571	26993	4383846	117940	GU280_gp05	HRIHFB2018	M	AKAP8L	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	HA95|HAP95|NAKAP|NAKAP95	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.751981385	-	Average Spectral Counts: 4.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.751981385|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	Q9ULX6	-	NP_001278407|NP_055186	-	-	-	-	-	-
